2023-02-08 13:27:01  [main]:[%PARSER_ERROR[tid]] DEBUG TestNG:82 - suiteXmlPath: "D:\IntelliJ Projects\Project\students-web-automation-framework\src\test\resources\testng.xml"
2023-02-08 13:27:02  [main]:[%PARSER_ERROR[tid]] INFO Utils:112 - [TestNG] Running:
  D:\IntelliJ Projects\Project\students-web-automation-framework\src\test\resources\testng.xml

2023-02-08 13:27:02  [main]:[%PARSER_ERROR[tid]] INFO ExtentManager:29 - Create extent report
2023-02-08 13:27:03  [main]:[%PARSER_ERROR[tid]] DEBUG ResolutionCache:156 - Removing resolution chrome=109 from cache (expired on Wed Feb 08 03:02:46 EET 2023)
2023-02-08 13:27:03  [main]:[%PARSER_ERROR[tid]] DEBUG InternalHttpClient:164 - ex-0000000001 preparing request execution
2023-02-08 13:27:03  [main]:[%PARSER_ERROR[tid]] DEBUG RequestAddCookies:122 - ex-0000000001 Cookie spec selected: strict
2023-02-08 13:27:03  [main]:[%PARSER_ERROR[tid]] DEBUG RequestAuthCache:78 - ex-0000000001 Auth cache not set in the context
2023-02-08 13:27:03  [main]:[%PARSER_ERROR[tid]] DEBUG ProtocolExec:164 - ex-0000000001 target auth state: UNCHALLENGED
2023-02-08 13:27:03  [main]:[%PARSER_ERROR[tid]] DEBUG ProtocolExec:170 - ex-0000000001 proxy auth state: UNCHALLENGED
2023-02-08 13:27:03  [main]:[%PARSER_ERROR[tid]] DEBUG ConnectExec:117 - ex-0000000001 acquiring connection with route {s}->https://raw.githubusercontent.com:443
2023-02-08 13:27:03  [main]:[%PARSER_ERROR[tid]] DEBUG InternalHttpClient:101 - ex-0000000001 acquiring endpoint (3 MINUTES)
2023-02-08 13:27:03  [main]:[%PARSER_ERROR[tid]] DEBUG PoolingHttpClientConnectionManager:255 - ex-0000000001 endpoint lease request (3 MINUTES) [route: {s}->https://raw.githubusercontent.com:443][total available: 0; route allocated: 0 of 5; total allocated: 0 of 25]
